Altitude,Latitude,Loctime,Electron Density,Electron Temperature,Density
1.047E+03,3.9E+01,-1.67E+02,5.81E+02,3.92E-02,1.51E+01
1.133E+03,4.5E+01,-1.67E+02,nan,nan,6.6E+00
1.133E+03,4.5E+01,-1.67E+02,2.95E+02,4.77E-02,5.8E+00
1.231E+03,1.5E+01,-1.71E+02,3.1E+01,nan,3.5E+00
1.125E+03,2E+01,-1.72E+02,2.66E+02,4.6579E-02,6.4E+00
1.052E+03,2.6E+01,-1.72E+02,2.8E+02,5E-02,8.6E+00
1.015E+03,3.2E+01,-1.73E+02,3.02E+02,6.8329E-02,1.34E+01
1.015E+03,3.2E+01,-1.73E+02,3.35E+02,5.7631E-02,1.57E+01
1.048E+03,4.4E+01,-1.74E+02,4.55E+02,3.6864E-02,1.6E+01
1.048E+03,4.4E+01,-1.74E+02,5.39E+02,2.8761E-02,9.3E+00
1.284E+03,1.9E+01,-1.77E+02,6.21E+02,nan,9.9E+00
1.16E+03,2.4E+01,-1.78E+02,5.2E+02,3.49E-02,1.8E+01
1.069E+03,3E+01,-1.79E+02,2.15E+02,1.29E-02,1.26E+01
1.012E+03,3.6E+01,1.79E+02,2.05E+02,3.05E-02,1.19E+01
9.91E+02,4.2E+01,1.78E+02,2.38E+02,1.62E-02,1.19E+01
9.91E+02,4.2E+01,1.78E+02,3.82E+02,3.53E-02,9E+00
1.006E+03,4.8E+01,1.76E+02,8.12E+02,4.27E-02,4.9E+00
1.057E+03,5.3E+01,1.74E+02,8.87E+02,3.22E-02,3.1E+00
1.27E+03,2.6E+01,1.75E+02,1.146E+03,4.89E-02,1.72E+01
1.147E+03,3.2E+01,1.74E+02,8.49E+02,4.59E-02,2.74E+01
1.057E+03,3.7E+01,1.72E+02,5.41E+02,3.64E-02,1.78E+01
1.057E+03,3.7E+01,1.72E+02,4.5E+02,5.22E-02,1.46E+01
1.001E+03,4.3E+01,1.7E+02,4.99E+02,5.3E-02,7.5E+00
9.8E+02,4.9E+01,1.68E+02,7.87E+02,4.16E-02,6E+00
9.97E+02,5.5E+01,1.64E+02,1.064E+03,5.46E-02,8E+00
1.05E+03,6.1E+01,1.6E+02,9.59E+02,3.31E-02,6.6E+00
1.036E+03,4.4E+01,1.62E+02,2.87E+02,6E-02,5.5E+00
1.036E+03,4.4E+01,1.62E+02,3.58E+02,5.42E-02,4.5E+00
9.59E+02,5.6E+01,1.55E+02,5.46E+02,3.93E-02,4.4E+00
9.59E+02,5.6E+01,1.55E+02,6.07E+02,4.58E-02,3.6E+00
1.286E+03,4.5E+01,1.51E+02,7.47E+02,3.04E-02,5.6E+00
1.286E+03,4.5E+01,1.51E+02,7.1E+02,3.06E-02,8.3E+00
1.156E+03,5E+01,1.47E+02,4.21E+02,2.97E-02,5.9E+00
1.058E+03,5.6E+01,1.42E+02,3.43E+02,3.83E-02,3.9E+00
9.94E+02,6.3E+01,1.35E+02,3.19E+02,4.18E-02,3.2E+00
9.66E+02,6.9E+01,1.27E+02,3.4E+02,3.55E-02,4.2E+00
9.74E+02,7.6E+01,1.16E+02,5.02E+02,3.49E-02,7.3E+00
1.019E+03,8.2E+01,1.03E+02,7.97E+02,3.66E-02,1.19E+01
1.019E+03,8.2E+01,1.03E+02,1.251E+03,5.39E-02,1.19E+01
1.382E+03,-8.6E+01,1.1E+02,9.84E+02,1.54E+00,3E+00
1.382E+03,-8.6E+01,1.1E+02,1.31E+03,1.881E-01,1.17E+01
1.235E+03,-8.8E+01,8.7E+01,1.626E+03,5.08E-02,2.03E+01
1.117E+03,-8.2E+01,5.5E+01,1.672E+03,3.62E-02,2.1E+01
1.033E+03,-7.7E+01,2.9E+01,1.707E+03,3.63E-02,1.02E+01
9.85E+02,-7.1E+01,1.3E+01,1.554E+03,4.27E-02,1.22E+01
9.73E+02,-6.6E+01,4E+00,1.847E+03,4.45E-02,1.53E+01
1E+03,-6E+01,-1E+00,2.2E+03,4.84E-02,2.79E+01
1E+03,-6E+01,-1E+00,2.013E+03,5.36E-02,2.19E+01
1.062E+03,-5.5E+01,-5E+00,1.518E+03,6.27E-02,1.05E+01
1.16E+03,-4.9E+01,-8E+00,8.55E+02,1.71E-02,2.7E+00
1.261E+03,-7.9E+01,-5.7E+01,2.28E+03,5.47E-02,1.4E+01
1.136E+03,-7.4E+01,-5.2E+01,2.428E+03,4.4E-02,2.61E+01
1.136E+03,-7.4E+01,-5.2E+01,1.733E+03,6.64E-02,1.7E+01
1.044E+03,-6.9E+01,-4.8E+01,1.517E+03,5.28E-02,1.33E+01
9.88E+02,-6.3E+01,-4.5E+01,1.545E+03,5.32E-02,1.52E+01
9.69E+02,-5.7E+01,-4.3E+01,1.836E+03,4.84E-02,1.87E+01
9.88E+02,-5.1E+01,-4.1E+01,2.071E+03,4.81E-02,2.14E+01
1.044E+03,-4.5E+01,-4E+01,2.344E+03,5.4E-02,2.29E+01
1.136E+03,-3.8E+01,-3.9E+01,1.404E+03,7.84E-02,5.1E+00
1.36E+03,-5.2E+01,5.3E+01,1.652E+03,7E-02,1.1E+01
1.225E+03,-4.5E+01,4.8E+01,2.549E+03,5.13E-02,2.86E+01
1.121E+03,-3.9E+01,4.3E+01,2.488E+03,5.1E-02,2.56E+01
1.051E+03,-3.2E+01,3.8E+01,2.4E+03,4.76E-02,2.18E+01
1.017E+03,-2.6E+01,3.4E+01,2.4E+03,4.51E-02,2.22E+01
1.017E+03,-2.6E+01,3.4E+01,2.599E+03,4.27E-02,2.57E+01
1.02E+03,-2E+01,3E+01,2.784E+03,5.42E-02,3.25E+01
1.06E+03,-1.4E+01,2.6E+01,2.285E+03,5.3E-02,2.37E+01
